ID,No. de caja,Secuencia de expedientes,No. de expediente,Contenido,Fecha,No. de Ley/Resolución/Decreto,Observaciones,Tipo de Iniciativa,Resolución / contrato
1,Pendiente,982-1008,982,Proyecto de ley que autoriza varias transferencias de fondos dentro del Cap. VIII de la Ley de Gastos Públicos para el año 1931.,04/01/1930,-,,Proyecto de Ley,
2,Pendiente,982-1008,983,Proyecto de ley que modifica la Ley Electoral.,05/01/1930,"Leyes #1234, 1247 y 1274",,Proyecto de Ley,
3,Pendiente,982-1008,984,"Proyecto de ley que dispone que de los fondos de la empresa de agua y luz se utilice la suma de $52,010.40 para saldar la deuda pendiente con la “Santo Domingo Motors Co.” C. por A. ",17/01/1930,Ley #1250,,Proyecto de Ley,
4,Pendiente,982-1008,985,Proyecto de ley que modifica la vigente de Gastos Públicos (1930) Departamento de Relaciones Exteriores.,18/01/1930,-,,Proyecto de Ley,
5,Pendiente,982-1008,986,Proyecto de ley por cuyo medio se pensiona a las hijas de don José María Pérez (Lastenia y Arminda) y a la Sra. Altagracia R. Vda. Pichardo.,22/01/1930,Ley #1290,,Proyecto de Ley,
6,Pendiente,982-1008,987,Proyecto de ley que concede varias pensiones (Leoncia Sánchez y Anita González y aumenta la de otras personas.,22/02/1930,-,Contiene comentario “no se aprobó” al lado del número de expediente.,Proyecto de Ley,
7,Pendiente,982-1008,988,Proyecto de ley por cuyo medio se validan los exequáturs expedidos por el Gobierno Militar.,24/01/1930,-,Contiene comentario “no se aprobó” al lado del número de expediente.,Proyecto de Ley,
8,Pendiente,982-1008,989,Proyecto de ley que modifica la vigente de Servicio Civil.,24/01/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
9,Pendiente,982-1008,990,Proyecto de ley que nacionaliza los servicios de Sanidad y Beneficencia (en el Archivo de la Nación la primera parte de este expediente).,29/01/1930,-,,Proyecto de Ley,
10,Pendiente,982-1008,991,"Proyecto de ley por cuyo medio se autoriza al Estado a importar gasolina, petróleo crudo y petróleo refinado.",05/02/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
11,Pendiente,982-1008,992,Proyecto de ley por cuyo medio se modifican los artículos 41 y 16 de la Núm. 821 de Organización Judicial. ,05/02/1930,Ley #1278,,Proyecto de Ley,
12,Pendiente,982-1008,993,Proyecto de ley que modifica la de Gastos Públicos.,06/02/1930,-,,Proyecto de Ley,
13,Pendiente,982-1008,994,"Proyecto de ley que vota la suma de $24, 000,00 para terminación de los trabajos de la demarcación de la línea fronteriza. ",07/02/1930,Ley #1254,,Proyecto de Ley,
14,Pendiente,982-1008,995,Instalación del Senado y de la Cámara de Diputados.,27/02/1930,-,,Sesión constitucional,
15,Pendiente,982-1008,996,Renuncia del presidente Horacio Vásquez ante la Asamblea Nacional. ,27/02/1930,-,,Sesión constitucional,
16,Pendiente,982-1008,997,"Proyecto de ley por cuyo medio se prohíbe la importación, fabricación y venta de calzado en cuya fabricación se utilice cartón y otros sustitutos de suela. ",12/03/1930,-,,Proyecto de Ley,
17,Pendiente,982-1008,998,Retirados de la circulación los automóviles de los Presidente del Senado y de la Cámara de Diputados.,13/03/1930,-,,Resolución,
18,Pendiente,982-1008,999,Proyecto de ley que modifica la Ley Electoral vigente. ,25/03/1930,Ley #1274,,Proyecto de Ley,
19,Pendiente,982-1008,1000,"Proyecto de ley por cuyo medio se modifica el artículo 2 del decreto del presidente Báez, de fecha 14 de septiembre de 1914.",18/03/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
20,Pendiente,982-1008,1001,Proyectos de resoluciones aprobatorias de varios nombramientos diplomáticos. ,22/03/1930,-,,Resolución,
21,Pendiente,982-1008,1002,Resoluciones que prorrogan las Legislaturas Ordinarias del año 1930 (mayo y noviembre).,06/05/1930,Resolución #19,,Resolución,
22,Pendiente,982-1008,1003,Proyecto de ley que autoriza al Poder Ejecutivo a disponer de hasta un 10% de lo recaudado por concepto de mensuras catastrales para los gastos que dicha recaudación ocasione. ,03/01/1930,Ley #1246,,Proyecto de Ley,
23,Pendiente,982-1008,1004,"Proyecto de ley que concede jubilaciones a los Sres. Oscar Ortiz, José Pérez Román y Alejandro Pérez Caminero. ",02/04/1930,-,,Proyecto de Ley,
24,Pendiente,982-1008,1005,Proyecto de ley que aprueba la Convención General de Conciliación Interamericana firmada en Washington el día 5 de enero de 1929. ,02/04/1930,Resolución #1316,,Proyecto de Ley,
25,Pendiente,982-1008,1006,Proyecto de ley que deroga la de fecha 14 de junio de 1912 que creó el Impuesto de Caminos.,07/04/1930,Ley 31308,,Proyecto de Ley,
26,Pendiente,982-1008,1007,Proyecto de ley que reduce todos los sueldos de los empleados públicos con excepción de los del profesorado de instituciones públicas y los de los magistrados del orden judicial.,08/04/1930,-,,Proyecto de Ley,
27,Pendiente,982-1008,1008,"Proyecto de ley que modifica los artículos 690, 703 y 707 del Código de Procedimiento Civil. ",30/04/1930,Ley #1306,,Proyecto de Ley,
28,1,1009-1024,1009,Proyecto de ley que establece responsabilidad a los tesoreros de los partidos políticos obligándoles a rendir cuenta de los fondos que manejan. ,07/05/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
29,1,1009-1024,1010,Proyecto de ley por cuyo medio se autoriza a la Cámara de Cuentas a nombrar a sus empleados.,14/05/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
30,1,1009-1024,1011,Proyecto de ley que establece que los nombramientos de los catedráticos de la universidad sean por concurso de oposición. ,14/05/1930,Ley #1310,,Proyecto de Ley,
31,1,1009-1024,1012,Presupuesto de ingresos y Ley de Gastos Públicos para el segundo semestre del año 1930.,25/06/1930,Ley #1307,,Proyecto de Ley,
32,1,1009-1024,1013,Proyecto de ley que modifica la vigente de Secretarías de Estado.,25/06/1930,Ley #1312,,Proyecto de Ley,
33,1,1009-1024,1014,Proyecto de resolución que aprueba el estado de recaudación e inversión de las rentas correspondientes al año 1929.,20/06/1930,Resolución #1330,,Resolución,
34,1,1009-1024,1015,Proyecto de ley que crea una nueva corte de apelación para el departamento de Santo Domingo.,26/06/1930,Ley #1305,,Proyecto de Ley,
35,1,1009-1024,1016,Proyecto de ley que modifica varias leyes que especializan rentas y fondos en la Ley de Gastos Públicos para 1930.,26/06/1930,Ley #1309,,Proyecto de Ley,
36,1,1009-1024,1017,"Proyecto de ley que vota de los fondos generales de la nación la suma de $400.00 para pagar a las Stas. Esther Montas y Abigail A. Coiscou las sumas que el Estado les adeuda por concepto de sueldos, en su calidad de taquígrafas auxiliares del Senado, correspondiente a los meses de marzo y abril de 1926.",26/06/1930,Ley #7,,Proyecto de Ley,
37,1,1009-1024,1018,Proyecto de ley que reglamenta la exportación de carbón vegetal.,26/06/1930,Ley #1318,,Proyecto de Ley,
38,1,1009-1024,1019,Proyecto de ley que deroga la No. 815 que estableció un impuesto de 150% ad-valorem sobre las maquinarias que se importan para la fabricación de azúcar.,27/06/1930,Ley #1319,,Proyecto de Ley,
39,1,1009-1024,1020,Proyecto de ley que traspasa las atribuciones del Tribunal Superior de Tierras a las cortes de apelación de Santo Domingo.,27/06/1930,-,,Proyecto de Ley,
40,1,1009-1024,1021,"Proyecto de ley que modifica las Núms. 1030 y 1132 y varios artículos de la de Org. Comunal que establecen arbitrios sobre matanza de animales, venta, castro y peso de carnes.",19/08/1930,Ley #39,,Proyecto de Ley,
41,1,1009-1024,1022,Proyecto de ley que modifica la de Organización Comunal en sus artículos 18 y 19.,22/08/1930,Ley #29,,Proyecto de Ley,
42,1,1009-1024,1023,Proyecto de ley que dispone que ninguna persona pueda disfrutar de más de un sueldo del Gobierno dominicano ni desempeñar a la vez dos cargos remunerados.,25/08/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
43,1,1009-1024,1024,"Proyecto de ley que reforma los artículos 12, 26, 27, 28, 41, 43 y 45 de la que establece los consejos de guerra, promulgada por el presidente provisional Juan Bautista Vicini Brugos en fecha 2 de abril de 1923.",27/08/1930,Ley #45,,Proyecto de Ley,
44,Pendiente,1025-1072,1025,Proyecto de ley que modifica la de Gastos Públicos para el segundo semestre del 1930.,28/08/1930,-,,Proyecto de Ley,
45,Pendiente,1025-1072,1026,"Proyecto de ley que establece que toda empresa radicada en la República que ejerza en ella actas de la vida comercial, industrial o agrícola, queda obligada a colocar dominicanos en un 70% de los empleos o cargos que tenga para su dirección y manejo. ",28/08/1930,-,Contiene comentario “no” al lado del número de expediente.,Proyecto de Ley,
46,Pendiente,1025-1072,1027,"Proyecto de ley que modifica la de Enseñanza Universitaria en sus artículos 4, 5, 6 y 31.",28/08/1930,-,,Proyecto de Ley,
47,Pendiente,1025-1072,1028,Proyecto de ley sobre Retiro de las Fuerzas Armadas de la República Dominicana.,28/08/1930,Ley #17,,Proyecto de Ley,
48,Pendiente,1025-1072,1029,"Proyecto de ley que crea una comisión de las cámaras legislativas para proceder a la revisión de los proyectos de los nuevos Código Civil, de Procedimiento Civil y de Comercio. ",29/08/1930,-,,Proyecto de Ley,
49,Pendiente,1025-1072,1030,Proyecto de ley que deroga la No. 727 y determina el número y la circunscripción de los juzgados de instrucción y alcaldías de Santo Domingo.  ,30/08/1930,Ley #51,,Proyecto de Ley,
50,Pendiente,1025-1072,1031,Proyecto de ley que modifica la #1278 y restablece el artículo 41 de la de Organización Judicial.,02/09/1930,Ley #48,,Proyecto de Ley,
51,Pendiente,1025-1072,1032,"Proyecto de ley que valida todos los actos realizados y decretos dictados por el Poder Ejecutivo en virtud de la ley del 4 de septiembre de 1930, así como los efectos que estas hayan producido y deroga la ley.",29/09/1930,Ley #46,,Proyecto de Ley,
52,Pendiente,1025-1072,1033,Proyecto de ley que introduce reformas en la de inmigración.,01/10/1930,Leyes # 83 y 250,,Proyecto de Ley,
53,Pendiente,1025-1072,1034,Proyecto de ley que vota la suma de $10.000.00 para cubrir gastos indispensables y deudas pendientes en la Secretaría de Relaciones Exteriores.,01/10/1930,-,,Proyecto de Ley,
54,Pendiente,1025-1072,1035,Proyecto de ley que deroga el artículo 4 de la No. 36 sobre nombramientos de empleados.,02/10/1930,Ley #7-bis,,Proyecto de Ley,
55,Pendiente,1025-1072,1036,"Resoluciones que aprueban los nombramientos diplomáticos (Ramón N. González, Agustín Acevedo, Sócrates Nolasco, etc.).",02/10/1930,-,,Resolución,
56,Pendiente,1025-1072,1037,Proyecto de ley que vota la suma de $15.000.00 para aumentar el presupuesto del “Hospital Padre Billini”.,09/10/1930,-,,Proyecto de Ley,
57,Pendiente,1025-1072,1038,Proyecto de ley que reforma el artículo 75 de la Ley de Org. Comunal.,16/10/1930,Ley #13,,Proyecto de Ley,
58,Pendiente,1025-1072,1039,Proyecto de ley que instituye la Orden del Mérito Militar. ,21/10/1930,Ley #21,,Proyecto de Ley,
59,Pendiente,1025-1072,1040,"Proyecto de ley que transfiere fondos del símbolo G-31833-A (servicios personales de la draga “Ozama”) a los G-10340-A y G-30201-A (servicios personales de la Secretaría de Estado de la Presidencia y de la Procuraduría General, respectivamente).",21/10/1930,-,,Proyecto de Ley,
60,Pendiente,1025-1072,1041,Proyecto de ley que modifica el artículo 67 de la No. 821 de Org. Judicial (procuradores fiscales). ,23/10/1930,-,Contiene comentario “rechazado” al lado del número de expediente.,Proyecto de Ley,
61,Pendiente,1025-1072,1042,Proyecto de ley que transfiere fondos del símbolo G-10340-A al G-10506-A (consultores jurídicos).,28/10/1930,-,,Proyecto de Ley,
62,Pendiente,1025-1072,1043,"Proyecto de ley que capacita al Poder Ejecutivo para nombrar, sustituir y trasladar los miembros de la Policía Municipal en toda la República.",16/10/1930,Ley #14,,Proyecto de Ley,
63,Pendiente,1025-1072,1044,Proyecto de ley que instituye una orden heráldica que se llamará “Orden del Mérito Juan Pablo Duarte”.,16/10/1930,Ley #91,,Proyecto de Ley,
64,Pendiente,1025-1072,1045,"Proyecto de ley que prohíbe denominar con el nombre de personas vivas, calles, edificios y paseos públicos, villas, comunes, etc.,  así como estampar sus retratos en los sellos de correos, estampillas, etc.,  sino 10 años después de su muerte. ",21/10/1930,Ley #40,,Proyecto de Ley,
65,Pendiente,1025-1072,1046,Proyecto de ley que modifica el artículo 28 de la #962 de Org. Judicial. ,21/10/1930,Ley #137,,Proyecto de Ley,
66,Pendiente,1025-1072,1047,Proyecto de ley tendiente a que el Tribunal Correccional conozca directamente de todo delito que por su naturaleza requiera ser castigado con penas correccionales.,04/10/1930,Ley #27,,Proyecto de Ley,
67,Pendiente,1025-1072,1048,"Proyecto de ley que transfiere la suma de $1, 400, 00 del símbolo G-31822-A al G-31822.",08/10/1930,-,,Proyecto de Ley,
68,Pendiente,1025-1072,1049,Proyecto de resolución que aprueba el contrato intervenido en el Gobierno dominicano y la Pan American Airways Inc. (transporte aéreo).,11/10/1930,,,Resolución,
69,Pendiente,1025-1072,1050,Proyecto de ley que regula y establece sanciones para el uso del acueducto y cloacas de la ciudad de Santo Domingo.,11/10/1930,Ley #74,,Proyecto de Ley,
70,Pendiente,1025-1072,1051,Proyecto de ley que otorga un voto público de reconocimiento y gratitud a las naciones que han venido en nuestro auxilio en motivo del ciclón del 3 de septiembre de 1930. ,15/10/1930,Resolución #8,,Proyecto de Ley,
71,Pendiente,1025-1072,1052,"Proyecto de ley que deroga las Nos. 1030 y 1132 de fecha 1 de noviembre de 1928 y 21 de marzo de 1929, respectivamente, y restablece en todo su vigor y efecto los párrafos 3, 4 y 7 del artículo 44 de la de Org. Comunal (observado).",30/10/1930,-,Contiene comentario “observada” al lado del número de expediente.,Proyecto de Ley,
72,Pendiente,1025-1072,1053,Proyecto de ley que suprime la segunda parte del acto 131 de la Ley Electoral. ,27/10/1930,Ley #34,,Proyecto de Ley,
73,Pendiente,1025-1072,1054,"Proyecto de ley que reforma el artículo 10 del decreto número 136 de fecha 22 de enero de 1924 del presidente Juan Bautista Vicini Burgos, validado por la No. 5 de fecha 14 de julio de 1924. ",30/10/1930,Ley #37,,Proyecto de Ley,
74,Pendiente,1025-1072,1055,Proyecto de ley que declara Día Panamericano el día 14 de abril de cada año. ,05/11/1930,Ley #26,,Proyecto de Ley,
